text,intent
Can I change my reservation from 3 nights for Mr. Jason Cooper?,modify_booking
Is Room Type A available at City Hotel for Jonathan Goodwin Jr.?,availability
Do you have room availability for 3 adults in December 2016?,availability
I want to book Room Type A for 3 guests at City Hotel,book_room
Can I reserve a room for Jonathan Goodwin Jr. for 3 nights?,book_room
How much is Room Type A at rate 60.0 per night?,room_price
What is the average daily rate for City Hotel in December?,room_price
Is BB meal package included for Jonathan Goodwin Jr.'s room?,breakfast
Do you provide 0 parking space for reservation under Jonathan Goodwin Jr.?,parking
Is parking space available at City Hotel for guest 341-353-2913?,parking
Can I cancel my booking under Jonathan Goodwin Jr.?,cancel_booking
Check reservation status for Jonathan Goodwin Jr. with status Check-Out,booking_status
Is booking status for Jonathan Goodwin Jr. confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Jonathan Goodwin Jr.?,payment
What facilities are available at City Hotel for Transient-Party guests?,hotel_facilities
"Does City Hotel feature a swimming pool, spa and gym for Jonathan Goodwin Jr.?",hotel_facilities
What are the check-in times at City Hotel for arrival on 27 December?,checkin_checkout
Can guest Jonathan Goodwin Jr. request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Jonathan Goodwin Jr. at City Hotel,modify_booking
Can I change my reservation from 3 nights for Jonathan Goodwin Jr.?,modify_booking
Is Room Type A available at City Hotel for Brandon Harrell?,availability
Do you have room availability for 1 adults in March 2016?,availability
I want to book Room Type A for 1 guests at City Hotel,book_room
Can I reserve a room for Brandon Harrell for 1 nights?,book_room
How much is Room Type A at rate 95.0 per night?,room_price
What is the average daily rate for City Hotel in March?,room_price
Is BB meal package included for Brandon Harrell's room?,breakfast
Do you provide 0 parking space for reservation under Brandon Harrell?,parking
Is parking space available at City Hotel for guest 360-134-7604?,parking
Can I cancel my booking under Brandon Harrell?,cancel_booking
Check reservation status for Brandon Harrell with status Check-Out,booking_status
Is booking status for Brandon Harrell confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Brandon Harrell?,payment
"Does City Hotel feature a swimming pool, spa and gym for Brandon Harrell?",hotel_facilities
What are the check-in times at City Hotel for arrival on 9 March?,checkin_checkout
Can guest Brandon Harrell request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Brandon Harrell at City Hotel,modify_booking
Can I change my reservation from 1 nights for Brandon Harrell?,modify_booking
Is Room Type A available at City Hotel for Tyler Todd?,availability
Do you have room availability for 2 adults in April 2017?,availability
Can I reserve a room for Tyler Todd for 4 nights?,book_room
How much is Room Type A at rate 108.0 per night?,room_price
What is the average daily rate for City Hotel in April?,room_price
Is SC meal package included for Tyler Todd's room?,breakfast
Do you provide 0 parking space for reservation under Tyler Todd?,parking
Is parking space available at City Hotel for guest 698-685-4845?,parking
Can I cancel my booking under Tyler Todd?,cancel_booking
Check reservation status for Tyler Todd with status Check-Out,booking_status
Is booking status for Tyler Todd confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Tyler Todd?,payment
"Does City Hotel feature a swimming pool, spa and gym for Tyler Todd?",hotel_facilities
What are the check-in times at City Hotel for arrival on 16 April?,checkin_checkout
Can guest Tyler Todd request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Tyler Todd at City Hotel,modify_booking
Can I change my reservation from 4 nights for Tyler Todd?,modify_booking
Is Room Type D available at City Hotel for Alexandra King?,availability
I want to book Room Type D for 2 guests at City Hotel,book_room
Can I reserve a room for Alexandra King for 3 nights?,book_room
How much is Room Type D at rate 130.5 per night?,room_price
Is BB meal package included for Alexandra King's room?,breakfast
What breakfast package is available for Room Type D?,breakfast
Do you provide 0 parking space for reservation under Alexandra King?,parking
Is parking space available at City Hotel for guest 235-332-9413?,parking
Can I cancel my booking under Alexandra King?,cancel_booking
Check reservation status for Alexandra King with status Check-Out,booking_status
Is booking status for Alexandra King confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Alexandra King?,payment
Do I need to pay deposit No Deposit for Room Type D?,payment
"Does City Hotel feature a swimming pool, spa and gym for Alexandra King?",hotel_facilities
What are the check-in times at City Hotel for arrival on 27 April?,checkin_checkout
Can guest Alexandra King request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Alexandra King at City Hotel,modify_booking
Can I change my reservation from 3 nights for Alexandra King?,modify_booking
Is Room Type A available at City Hotel for Gary Morgan?,availability
Can I reserve a room for Gary Morgan for 1 nights?,book_room
How much is Room Type A at rate 85.0 per night?,room_price
Is BB meal package included for Gary Morgan's room?,breakfast
Do you provide 0 parking space for reservation under Gary Morgan?,parking
Is parking space available at City Hotel for guest 181-668-8047?,parking
Can I cancel my booking under Gary Morgan?,cancel_booking
Check reservation status for Gary Morgan with status Canceled,booking_status
Is booking status for Gary Morgan confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Gary Morgan?,payment
"Does City Hotel feature a swimming pool, spa and gym for Gary Morgan?",hotel_facilities
What are the check-in times at City Hotel for arrival on 4 March?,checkin_checkout
Can guest Gary Morgan request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Gary Morgan at City Hotel,modify_booking
Can I change my reservation from 1 nights for Gary Morgan?,modify_booking
Is Room Type A available at City Hotel for Michael Bowman?,availability
Do you have room availability for 2 adults in October 2015?,availability
Can I reserve a room for Michael Bowman for 2 nights?,book_room
How much is Room Type A at rate 109.0 per night?,room_price
What is the average daily rate for City Hotel in October?,room_price
Is HB meal package included for Michael Bowman's room?,breakfast
Do you provide 0 parking space for reservation under Michael Bowman?,parking
Is parking space available at City Hotel for guest 779-867-8171?,parking
Can I cancel my booking under Michael Bowman?,cancel_booking
Check reservation status for Michael Bowman with status Check-Out,booking_status
Is booking status for Michael Bowman confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Michael Bowman?,payment
"Does City Hotel feature a swimming pool, spa and gym for Michael Bowman?",hotel_facilities
What are the check-in times at City Hotel for arrival on 16 October?,checkin_checkout
Can guest Michael Bowman request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Michael Bowman at City Hotel,modify_booking
Can I change my reservation from 2 nights for Michael Bowman?,modify_booking
Is Room Type D available at Resort Hotel for Andrew Harris?,availability
Do you have room availability for 2 adults in November 2016?,availability
I want to book Room Type D for 2 guests at Resort Hotel,book_room
Can I reserve a room for Andrew Harris for 7 nights?,book_room
How much is Room Type D at rate 67.44 per night?,room_price
What is the average daily rate for Resort Hotel in November?,room_price
Is HB meal package included for Andrew Harris's room?,breakfast
Do you provide 0 parking space for reservation under Andrew Harris?,parking
Is parking space available at Resort Hotel for guest 497-904-5270?,parking
Can I cancel my booking under Andrew Harris?,cancel_booking
Check reservation status for Andrew Harris with status Check-Out,booking_status
Is booking status for Andrew Harris confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Andrew Harris?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Andrew Harris?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 19 November?,checkin_checkout
Can guest Andrew Harris request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Andrew Harris at Resort Hotel,modify_booking
Can I change my reservation from 7 nights for Andrew Harris?,modify_booking
Is Room Type A available at Resort Hotel for Cory Li?,availability
Do you have room availability for 2 adults in September 2015?,availability
I want to book Room Type A for 2 guests at Resort Hotel,book_room
Can I reserve a room for Cory Li for 2 nights?,book_room
How much is Room Type A at rate 80.0 per night?,room_price
What is the average daily rate for Resort Hotel in September?,room_price
Is HB meal package included for Cory Li's room?,breakfast
Do you provide 0 parking space for reservation under Cory Li?,parking
Is parking space available at Resort Hotel for guest 913-293-2068?,parking
Can I cancel my booking under Cory Li?,cancel_booking
Check reservation status for Cory Li with status Check-Out,booking_status
Is booking status for Cory Li confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Cory Li?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Cory Li?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 14 September?,checkin_checkout
Can guest Cory Li request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Cory Li at Resort Hotel,modify_booking
Can I change my reservation from 2 nights for Cory Li?,modify_booking
Is Room Type D available at Resort Hotel for Tony Bush?,availability
Can I reserve a room for Tony Bush for 4 nights?,book_room
How much is Room Type D at rate 54.8 per night?,room_price
Is BB meal package included for Tony Bush's room?,breakfast
Do you provide 1 parking space for reservation under Tony Bush?,parking
Is parking space available at Resort Hotel for guest 405-557-4917?,parking
Can I cancel my booking under Tony Bush?,cancel_booking
Check reservation status for Tony Bush with status Check-Out,booking_status
Is booking status for Tony Bush confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Tony Bush?,payment
What facilities are available at Resort Hotel for Transient-Party guests?,hotel_facilities
"Does Resort Hotel feature a swimming pool, spa and gym for Tony Bush?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 26 December?,checkin_checkout
Can guest Tony Bush request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Tony Bush at Resort Hotel,modify_booking
Can I change my reservation from 4 nights for Tony Bush?,modify_booking
Is Room Type A available at City Hotel for Joseph Li?,availability
Do you have room availability for 2 adults in February 2017?,availability
Can I reserve a room for Joseph Li for 2 nights?,book_room
How much is Room Type A at rate 79.2 per night?,room_price
What is the average daily rate for City Hotel in February?,room_price
Is SC meal package included for Joseph Li's room?,breakfast
Do you provide 0 parking space for reservation under Joseph Li?,parking
Is parking space available at City Hotel for guest 627-884-3414?,parking
Can I cancel my booking under Joseph Li?,cancel_booking
Check reservation status for Joseph Li with status Canceled,booking_status
Is booking status for Joseph Li confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Joseph Li?,payment
"Does City Hotel feature a swimming pool, spa and gym for Joseph Li?",hotel_facilities
What are the check-in times at City Hotel for arrival on 17 February?,checkin_checkout
Can guest Joseph Li request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Joseph Li at City Hotel,modify_booking
Can I change my reservation from 2 nights for Joseph Li?,modify_booking
Is Room Type A available at Resort Hotel for Michael Bird?,availability
Do you have room availability for 2 adults in December 2015?,availability
Can I reserve a room for Michael Bird for 7 nights?,book_room
How much is Room Type A at rate 57.29 per night?,room_price
Is HB meal package included for Michael Bird's room?,breakfast
Do you provide 0 parking space for reservation under Michael Bird?,parking
Is parking space available at Resort Hotel for guest 799-379-7243?,parking
Can I cancel my booking under Michael Bird?,cancel_booking
Check reservation status for Michael Bird with status Check-Out,booking_status
Is booking status for Michael Bird confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Michael Bird?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Michael Bird?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 24 December?,checkin_checkout
Can guest Michael Bird request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Michael Bird at Resort Hotel,modify_booking
Can I change my reservation from 7 nights for Michael Bird?,modify_booking
Is Room Type A available at City Hotel for Robin Cervantes?,availability
Do you have room availability for 2 adults in August 2016?,availability
Can I reserve a room for Robin Cervantes for 3 nights?,book_room
What is the average daily rate for City Hotel in August?,room_price
Is BB meal package included for Robin Cervantes's room?,breakfast
Do you provide 0 parking space for reservation under Robin Cervantes?,parking
Is parking space available at City Hotel for guest 665-433-7948?,parking
Can I cancel my booking under Robin Cervantes?,cancel_booking
Check reservation status for Robin Cervantes with status Check-Out,booking_status
Is booking status for Robin Cervantes confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Robin Cervantes?,payment
"Does City Hotel feature a swimming pool, spa and gym for Robin Cervantes?",hotel_facilities
What are the check-in times at City Hotel for arrival on 15 August?,checkin_checkout
Can guest Robin Cervantes request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Robin Cervantes at City Hotel,modify_booking
Can I change my reservation from 3 nights for Robin Cervantes?,modify_booking
Is Room Type A available at City Hotel for Susan Schmidt?,availability
Can I reserve a room for Susan Schmidt for 1 nights?,book_room
Is BB meal package included for Susan Schmidt's room?,breakfast
Do you provide 0 parking space for reservation under Susan Schmidt?,parking
Is parking space available at City Hotel for guest 631-615-3557?,parking
Can I cancel my booking under Susan Schmidt?,cancel_booking
What is the cancellation policy for Non Refund reservation at City Hotel?,cancel_booking
Check reservation status for Susan Schmidt with status Canceled,booking_status
Is booking status for Susan Schmidt confirmed at City Hotel?,booking_status
What payment methods do you accept for Non Refund booking under Susan Schmidt?,payment
Do I need to pay deposit Non Refund for Room Type A?,payment
"Does City Hotel feature a swimming pool, spa and gym for Susan Schmidt?",hotel_facilities
What are the check-in times at City Hotel for arrival on 17 October?,checkin_checkout
Can guest Susan Schmidt request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Susan Schmidt at City Hotel,modify_booking
Can I change my reservation from 1 nights for Susan Schmidt?,modify_booking
Is Room Type A available at Resort Hotel for Travis Garcia?,availability
Can I reserve a room for Travis Garcia for 2 nights?,book_room
How much is Room Type A at rate 99.0 per night?,room_price
What is the average daily rate for Resort Hotel in April?,room_price
Is BB meal package included for Travis Garcia's room?,breakfast
Do you provide 1 parking space for reservation under Travis Garcia?,parking
Is parking space available at Resort Hotel for guest 293-732-5812?,parking
Can I cancel my booking under Travis Garcia?,cancel_booking
Check reservation status for Travis Garcia with status Check-Out,booking_status
Is booking status for Travis Garcia confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Travis Garcia?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Travis Garcia?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 20 April?,checkin_checkout
Can guest Travis Garcia request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Travis Garcia at Resort Hotel,modify_booking
Can I change my reservation from 2 nights for Travis Garcia?,modify_booking
Is Room Type A available at Resort Hotel for Amanda Combs?,availability
Can I reserve a room for Amanda Combs for 1 nights?,book_room
How much is Room Type A at rate 48.0 per night?,room_price
Is BB meal package included for Amanda Combs's room?,breakfast
Do you provide 0 parking space for reservation under Amanda Combs?,parking
Is parking space available at Resort Hotel for guest 575-779-2404?,parking
Can I cancel my booking under Amanda Combs?,cancel_booking
Check reservation status for Amanda Combs with status Check-Out,booking_status
Is booking status for Amanda Combs confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Amanda Combs?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Amanda Combs?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 9 December?,checkin_checkout
Can guest Amanda Combs request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Amanda Combs at Resort Hotel,modify_booking
Can I change my reservation from 1 nights for Amanda Combs?,modify_booking
Is Room Type A available at City Hotel for Emily Richard?,availability
Do you have room availability for 2 adults in May 2016?,availability
Can I reserve a room for Emily Richard for 5 nights?,book_room
How much is Room Type A at rate 149.68 per night?,room_price
What is the average daily rate for City Hotel in May?,room_price
Is HB meal package included for Emily Richard's room?,breakfast
Do you provide 0 parking space for reservation under Emily Richard?,parking
Is parking space available at City Hotel for guest 908-561-0381?,parking
Can I cancel my booking under Emily Richard?,cancel_booking
Check reservation status for Emily Richard with status Canceled,booking_status
Is booking status for Emily Richard confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Emily Richard?,payment
"Does City Hotel feature a swimming pool, spa and gym for Emily Richard?",hotel_facilities
What are the check-in times at City Hotel for arrival on 6 May?,checkin_checkout
Can guest Emily Richard request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Emily Richard at City Hotel,modify_booking
Can I change my reservation from 5 nights for Emily Richard?,modify_booking
Is Room Type A available at City Hotel for Kimberly Santiago?,availability
Do you have room availability for 2 adults in July 2017?,availability
Can I reserve a room for Kimberly Santiago for 7 nights?,book_room
How much is Room Type A at rate 78.35 per night?,room_price
Is BB meal package included for Kimberly Santiago's room?,breakfast
Do you provide 0 parking space for reservation under Kimberly Santiago?,parking
Is parking space available at City Hotel for guest 374-401-3653?,parking
Can I cancel my booking under Kimberly Santiago?,cancel_booking
Check reservation status for Kimberly Santiago with status Check-Out,booking_status
Is booking status for Kimberly Santiago confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Kimberly Santiago?,payment
"Does City Hotel feature a swimming pool, spa and gym for Kimberly Santiago?",hotel_facilities
What are the check-in times at City Hotel for arrival on 15 July?,checkin_checkout
Can guest Kimberly Santiago request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Kimberly Santiago at City Hotel,modify_booking
Can I change my reservation from 7 nights for Kimberly Santiago?,modify_booking
Is Room Type F available at Resort Hotel for Jill Mcdonald?,availability
Do you have room availability for 2 adults in October 2016?,availability
Can I reserve a room for Jill Mcdonald for 7 nights?,book_room
How much is Room Type F at rate 91.85 per night?,room_price
What is the average daily rate for Resort Hotel in October?,room_price
Is BB meal package included for Jill Mcdonald's room?,breakfast
Do you provide 1 parking space for reservation under Jill Mcdonald?,parking
Is parking space available at Resort Hotel for guest 247-865-4713?,parking
Can I cancel my booking under Jill Mcdonald?,cancel_booking
Check reservation status for Jill Mcdonald with status Check-Out,booking_status
Is booking status for Jill Mcdonald confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Jill Mcdonald?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Jill Mcdonald?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 27 October?,checkin_checkout
Can guest Jill Mcdonald request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Jill Mcdonald at Resort Hotel,modify_booking
Can I change my reservation from 7 nights for Jill Mcdonald?,modify_booking
Is Room Type A available at Resort Hotel for Nicholas Smith?,availability
Do you have room availability for 2 adults in March 2016?,availability
Can I reserve a room for Nicholas Smith for 4 nights?,book_room
How much is Room Type A at rate 58.0 per night?,room_price
What is the average daily rate for Resort Hotel in March?,room_price
Is BB meal package included for Nicholas Smith's room?,breakfast
Do you provide 1 parking space for reservation under Nicholas Smith?,parking
Is parking space available at Resort Hotel for guest 456-789-1863?,parking
Can I cancel my booking under Nicholas Smith?,cancel_booking
Check reservation status for Nicholas Smith with status Check-Out,booking_status
Is booking status for Nicholas Smith confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Nicholas Smith?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Nicholas Smith?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 29 March?,checkin_checkout
Can guest Nicholas Smith request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Nicholas Smith at Resort Hotel,modify_booking
Can I change my reservation from 4 nights for Nicholas Smith?,modify_booking
Is Room Type A available at City Hotel for Neil Fischer?,availability
Do you have room availability for 1 adults in October 2015?,availability
Can I reserve a room for Neil Fischer for 4 nights?,book_room
How much is Room Type A at rate 140.0 per night?,room_price
Is BB meal package included for Neil Fischer's room?,breakfast
Do you provide 0 parking space for reservation under Neil Fischer?,parking
Is parking space available at City Hotel for guest 596-857-9819?,parking
Can I cancel my booking under Neil Fischer?,cancel_booking
Check reservation status for Neil Fischer with status Canceled,booking_status
Is booking status for Neil Fischer confirmed at City Hotel?,booking_status
What payment methods do you accept for Non Refund booking under Neil Fischer?,payment
"Does City Hotel feature a swimming pool, spa and gym for Neil Fischer?",hotel_facilities
What are the check-in times at City Hotel for arrival on 5 October?,checkin_checkout
Can guest Neil Fischer request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Neil Fischer at City Hotel,modify_booking
Can I change my reservation from 4 nights for Neil Fischer?,modify_booking
Is Room Type E available at Resort Hotel for Adrienne Reed?,availability
I want to book Room Type E for 2 guests at Resort Hotel,book_room
Can I reserve a room for Adrienne Reed for 5 nights?,book_room
How much is Room Type E at rate 74.6 per night?,room_price
Is BB meal package included for Adrienne Reed's room?,breakfast
What breakfast package is available for Room Type E?,breakfast
Do you provide 0 parking space for reservation under Adrienne Reed?,parking
Is parking space available at Resort Hotel for guest 321-211-6534?,parking
Can I cancel my booking under Adrienne Reed?,cancel_booking
Check reservation status for Adrienne Reed with status Check-Out,booking_status
Is booking status for Adrienne Reed confirmed at Resort Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Adrienne Reed?,payment
Do I need to pay deposit No Deposit for Room Type E?,payment
"Does Resort Hotel feature a swimming pool, spa and gym for Adrienne Reed?",hotel_facilities
What are the check-in times at Resort Hotel for arrival on 19 April?,checkin_checkout
Can guest Adrienne Reed request early check-in or late check-out at Resort Hotel?,checkin_checkout
I want to modify booking dates for guest Adrienne Reed at Resort Hotel,modify_booking
Can I change my reservation from 5 nights for Adrienne Reed?,modify_booking
Is Room Type D available at City Hotel for Dr. Dave Rios DVM?,availability
Do you have room availability for 3 adults in July 2017?,availability
I want to book Room Type D for 3 guests at City Hotel,book_room
Can I reserve a room for Dr. Dave Rios DVM for 4 nights?,book_room
How much is Room Type D at rate 165.6 per night?,room_price
Is BB meal package included for Dr. Dave Rios DVM's room?,breakfast
Do you provide 0 parking space for reservation under Dr. Dave Rios DVM?,parking
Is parking space available at City Hotel for guest 247-822-3245?,parking
Can I cancel my booking under Dr. Dave Rios DVM?,cancel_booking
Check reservation status for Dr. Dave Rios DVM with status Check-Out,booking_status
Is booking status for Dr. Dave Rios DVM confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Dr. Dave Rios DVM?,payment
"Does City Hotel feature a swimming pool, spa and gym for Dr. Dave Rios DVM?",hotel_facilities
What are the check-in times at City Hotel for arrival on 26 July?,checkin_checkout
Can guest Dr. Dave Rios DVM request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Dr. Dave Rios DVM at City Hotel,modify_booking
Can I change my reservation from 4 nights for Dr. Dave Rios DVM?,modify_booking
Is Room Type A available at City Hotel for Sarah Jones?,availability
Can I reserve a room for Sarah Jones for 4 nights?,book_room
How much is Room Type A at rate 99.45 per night?,room_price
Is BB meal package included for Sarah Jones's room?,breakfast
Do you provide 0 parking space for reservation under Sarah Jones?,parking
Is parking space available at City Hotel for guest 377-154-4073?,parking
Can I cancel my booking under Sarah Jones?,cancel_booking
Check reservation status for Sarah Jones with status Canceled,booking_status
Is booking status for Sarah Jones confirmed at City Hotel?,booking_status
What payment methods do you accept for No Deposit booking under Sarah Jones?,payment
"Does City Hotel feature a swimming pool, spa and gym for Sarah Jones?",hotel_facilities
What are the check-in times at City Hotel for arrival on 10 August?,checkin_checkout
Can guest Sarah Jones request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Sarah Jones at City Hotel,modify_booking
Can I change my reservation from 4 nights for Sarah Jones?,modify_booking
Is Room Type A available at City Hotel for Jonathan Medina?,availability
Do you have room availability for 2 adults in May 2017?,availability
Can I reserve a room for Jonathan Medina for 2 nights?,book_room
How much is Room Type A at rate 128.0 per night?,room_price
Is BB meal package included for Jonathan Medina's room?,breakfast
Do you provide 0 parking space for reservation under Jonathan Medina?,parking
Is parking space available at City Hotel for guest 210-170-9594?,parking
Can I cancel my booking under Jonathan Medina?,cancel_booking
Check reservation status for Jonathan Medina with status Canceled,booking_status
Is booking status for Jonathan Medina confirmed at City Hotel?,booking_status
What payment methods do you accept for Non Refund booking under Jonathan Medina?,payment
"Does City Hotel feature a swimming pool, spa and gym for Jonathan Medina?",hotel_facilities
What are the check-in times at City Hotel for arrival on 22 May?,checkin_checkout
Can guest Jonathan Medina request early check-in or late check-out at City Hotel?,checkin_checkout
I want to modify booking dates for guest Jonathan Medina at City Hotel,modify_booking
Can I change my reservation from 2 nights for Jonathan Medina?,modify_booking
Is Room Type A available at City Hotel for Jean Lane?,availability
Can I reserve a room for Jean Lane for 2 nights?,book_room
How much is Room Type A at rate 62.0 per night?,room_price
Is BB meal package included for Jean Lane's room?,breakfast
Do you provide 0 parking space for reservation under Jean Lane?,parking
Is parking space available at City Hotel for guest 438-325-9455?,parking
Can I cancel my booking under Jean Lane?,cancel_booking
Check reservation status for Jean Lane with status Canceled,booking_status
Is booking status for Jean Lane confirmed at City Hotel?,booking_status
What payment methods do you accept for Non Refund booking under Jean Lane?,payment
